"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","135","POST /carts/:cartId/items — qty={{quantity}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","155","GET /products/:productId — happy","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","63","DELETE item","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","68","GET /products/:id — strict product schema","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","01 Strict Contract","",""
"","100","GET /products?results=0 — boundary (<1)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","02 Pagination Contract","",""
"","99","GET /products?results={{results}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Results BVA","",""
"","86","POST /carts/:cartId/items — 400 malformed JSON","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","94","E2E 10 — PATCH order customerName","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","79","GET /orders — 401 no Authorization header","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","180","E2E 04 — PATCH item A qty to 7","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","226","POST /carts/:cartId/items — qty={{quantity}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","182","POST /orders — 400 missing cartId","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","55","POST /api-clients — wrong Content-Type (text/plain)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","03 Negative Bodies","",""
"","187","POST /carts/:cartId/items — 400 nonexistent productId","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","95","E2E 12 — DELETE order","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","141","POST /api-clients — 400 empty body","Grocery API","2026-06-17","passed","2026-06-17","","01 Auth (api-clients)","",""
"","85","GET /products?results=21 — boundary (>20)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","02 Pagination Contract","",""
"","283","GET /status — UP","Grocery API","2026-06-17","passed","2026-06-17","","00 Status","",""
